words,sentiment_coeff
i,-38.710255892222015
want,-81.5406004910046
to,-59.24575660320908
see,95.86238815851323
how_many,74.81832280615924
of,66.16536808590068
the,64.86055158701228
current,97.10801048187619
covid,-85.06275600364617
cases,94.85450661816792
have,-84.14005630974712
had,-87.30239066709359
at_least,95.3356926289405
one,-89.53978014942541
dose,75.97314268796362
vaccine,-71.39852778121545
wanted,97.64254805703523
know,-75.56245689618466
number,90.4525281344488
deaths,91.7781911418635
are,71.48209546300365
you_hiding,96.99405011395592
deaths_from,110.60491940552939
vaccination,-99.14911685431204
?,-75.96009667288715
how,-68.28111143319444
come,-106.7225956861184
there,91.87357246513736
so,-92.69967525821757
few,95.78755983137067
reported,93.42625943869237
in,-81.6875210898345
canadian,90.87328886450466
database,91.57863279617382
compared,85.40843082776192
uk,96.08810911088337
systems,90.46460629807095
not,85.74846559462705
being_reported,95.40837689017329
is,82.14966941016375
a,-73.53758920069629
problem,96.57386697818677
with,95.28768673296761
our,-88.52223243615461
data,80.90855188861268
why,89.02992263081117
does,88.09185097690693
column,77.23299008949489
itself,94.53349115007133
it,79.73290488494557
written,95.69152162798969
this,93.72166066248614
appears,92.53610899352906
me,-99.08558824930861
lying,100.4727594415689
each_province,84.34293432545394
should,-94.53472005224307
state,100.73917613275853
total,88.94636035373576
vaccinations,-100.11102933815926
date,85.35389535313023
then,97.9189003105644
percentage_of,92.27160008326166
first_dose,-85.09265906002858
and,-85.52159465453725
complete,100.54302651104368
some_provinces,80.9266620459412
do,-71.40094533188538
others,-99.0082799388518
given,86.62640445812441
but,-96.513299191583
what,91.60208064621142
percent,84.51756340058876
completely,97.6142714782796
vaccinated,-81.46539024062899
on,86.22507630316825
this_page,88.84376179331672
seems,99.11163302046982
be,88.39462190305348
inaccurate,97.86510874606182
does_not,99.8346919807981
line,-100.37070851826954
up,87.15168728173961
reporting,88.32355952062936
news,105.51290352958459
also,96.40886003359925
presentation,101.62596589274997
inconsistent,99.26006700178844
pfizer,-90.79130245265127
shows,95.4056986491134
allocations,88.00844227545383
moderna,102.29023112154727
not_clear,101.4383736389664
whether,95.60987199836325
10th,101.88054882065434
16th,-99.23995046101255
allocation,92.0187643064916
happened,-100.7562391979502
delivery_schedule,107.16885786705869
for,-68.33509754055602
july,-94.24669901882491
moderne,-97.28867240466933
astrazeneca,90.78466842028577
j_j,97.22899087061032
updated,83.62677740430851
more,97.42768342692756
info_on,102.17857168229655
info,101.32627172599375
out,92.61747422746892
looking_for,92.42498674546322
details_on,95.80034578095962
deliveries,91.5189603239803
that,93.63538682498061
were,98.95014454106509
announced,93.85431231151757
media,101.37602865337882
detailed,104.42066826773278
here,96.77249588716711
was_looking,103.02368466095567
distribution_per,-95.82971257761452
information,83.99944230018468
no_information,88.31790444649828
available,-101.11206361551531
regarding,104.27719252912205
shipments,88.5951547592478
past,91.8962864939095
it_s,98.96420406234138
not_enough,102.31975089204005
supply,95.68232990863905
two_doses,98.43591813112894
frequency,116.09174855097103
update,90.70937122550585
should_be,95.88609986630355
increased,92.90527232928537
weekly,86.71768357496823
decreased,90.99324158169469
as,95.04318257617268
note,95.18685666497531
says,91.7706847931869
where,-68.93948039491475
vaccines,88.44440458369017
!_!,70.68965541952606
75,-100.17915022494266
20,-96.048652887493
mentioned,93.559432001543
people,-91.12915665268746
reported_serious,101.40016884878558
adverse_events,88.68579020481457
states,97.72351737438342
61,91.8212206776246
anaphylaxis,86.05430492414692
reports,91.76089918895559
anxiety,90.80766837937969
or,-94.35403927744056
coincidental,96.17391949767703
reaction,93.70439126583707
which,93.93998060195624
may,93.87242510400723
serious,94.43112706769061
events,84.9147020367493
please_provide,98.59178566361368
this_site,96.60681609205585
other,102.64413274566765
811,-89.82688631901205
severe,97.9326616057012
by,90.56295009154388
population,87.58975346406973
last,97.56836677825298
webpage,97.4479534786482
said,93.65581620080349
following_immunization,94.7549249552905
followed,94.22622031766018
link,102.21992929869796
hoping,92.85405297834552
find_out,-91.09399302637495
no,91.55400550716817
such,99.13145155271033
has_been,104.74830376909217
provided,110.18271620804904
only,90.19686693009304
possible,100.14220879690154
actual,93.38577913479473
disappointing,100.33523935976511
total_forecasted,97.50837708203905
all,93.9976355710472
from,92.5399458888732
companies,98.26953558207181
seem,103.05803541607247
today,98.81935573200084
16,-87.43464883778142
april_29,-90.50780329824765
at_8,-82.30950210308733
12,102.39257682034783
am,-87.05962274172803
when,-59.9879373310172
will,-76.30943783576522
you,77.84594196982279
indicated_that,98.2427955323237
updated_weekly,91.14651429304287
we,-73.13859487292277
receiving,-102.86200739787593
4,89.48156564591945
5_million,98.3534807245345
doses,76.54922863352984
mrna_vaccines,89.11728906626851
week,88.81311855397772
according,92.48867709843071
with_respect,92.95903209388742
government,103.84001441569002
days,89.30949153562602
delivery,93.19357486703487
17,-101.07056339461026
24,-97.76544076964137
yet,98.23930636805687
projections,83.16589808692176
show,87.42982185936278
change,-98.37700912874547
reality,-97.00935207633613
how_much,93.43135679079792
was,86.88006489703511
actually,96.16300271145444
administered,92.42757880509849
old,-74.98318197828138
janssen,-105.13005359374881
bc,-94.55683922460317
could,102.71195608789813
tracker,89.17290923713487
percentage,99.82407760455786
total_number,94.74248163572646
each,95.33058258977302
significant,94.93090242105127
adverse_effects,95.90575126948038
serious_side,80.23536765506752
effects,59.9606309678399
have_been,91.99157579469254
found,97.87662964694124
so_far,91.05348573242249
vs,99.12574741841198
covishield,98.54348123909075
shipment,92.29577353974773
alberta,-92.52591268019485
need,-88.61575477426051
johnson,58.81604038083413
about,90.10706423488396
future,99.40577217103147
distribution,99.63367235957215
indicates,73.57970313028416
getting,-95.94211450138997
more_than,92.47712814890602
next_week,99.85984848156828
2,93.96000756991087
health_canada,84.56144270371249
make,-99.01698853142635
johnson_johnson,104.45144393821917
in_nova,-51.955828416332515
scotia,-58.191642138221596
waiting,-97.948719238755
shot,-86.3496080613175
due,-98.21212590398716
autoimmune,99.93097976207449
compromise,104.33562604178726
issues,99.83916963303585
please,102.68256929278672
!,96.45116340591711
no_info,101.93734728800342
canada,87.89976800069917
s,99.08581256826777
since,97.39963872471155
looking,-102.06963417291753
at,-91.779922607125
1st_dose,90.76687822560955
25,94.60343020046375
both,-101.75739904126856
canadians,91.96678733422661
die,97.54056524700046
within,88.82481366029668
treatment,-97.59840910707263
seek_medical,91.66150527239864
7_days,-98.7876887769462
incomplete,99.37366741488765
statistics,97.44070433137338
negative,97.64277054337842
reactions,92.59578389774201
including,103.08594547910788
blood_clots,95.87752418014301
your,95.89141817223039
guide,102.09961158764382
makes,97.5932050353633
no_mention,101.02593819845855
extraordinarily_high,93.84035022168979
death_rate,93.96187915875305
conventional_vaccines,83.99586963988568
if,-80.5149201085871
vaers,94.07833846059529
analysis,90.31611618280066
below,88.31520148882235
correct,99.69789015213188
vital,95.80278672550348
informed_consent,94.9376846668324
